international_research_network;faculty_student_ratio;international_students;outbound_exchange;citations_per_paper;inbound_exchange;papers_per_faculty;international_faculty;academic_reputation;employer_reputation;faculty_staff_with_PhD
0;0;24.9;0;0;0;24.7;0;0;0;100
0;0;0;0;0;0;0;51.7;0;32.5;15.2
0;0;0;0;75.2;0;25.1;0;0;0;0
34.9;0;0;0;34.1;0;0;0;0;0;0
0;33.1;0;0;0;0;0;0;0;19.2;0
0;54.3;37.5;0;0;0;0;0;0;0;34.8
0;93;0;0;0;0;0;0;0;0;0
0;0;16;28.6;0;13.3;25.2;47.2;0;0;93
0;0;0;0;67.3;0;0;0;0;0;90.7
48.7;0;0;0;37.2;0;0;21.2;0;0;0
53.7;0;0;0;0;0;48.9;0;0;0;0
0;0;21.4;87.3;42.8;16.7;19.2;21.1;0;0;0
0;0;0;12.9;0;22.4;0;17.1;22.4;14;0
25;0;0;0;51.1;0;42.2;0;0;0;0
0;0;32.6;0;0;0;0;63.5;0;0;17.8
0;0;0;0;99.6;0;0;0;0;0;0
0;0;0;0;0;0;79;19.3;0;0;71.2
0;92;0;0;0;0;0;0;0;0;0
19.6;0;30.7;0;38.7;0;0;0;15.1;18.3;0
0;0;17.4;0;51;0;18;0;0;0;0
0;0;13.5;0;0;11.3;0;32.7;14.9;26.5;0
0;0;0;25.5;33;0;0;39.9;0;15.2;0
0;0;23.5;20.2;0;12.5;41.2;25;0;0;88.7
0;0;13.5;33.9;0;20.1;0;75.9;0;19.3;26.5
0;0;100;78.5;0;0;0;92.7;0;16.2;0
0;0;100;94.1;0;100;0;100;0;0;0
0;0;0;41.8;37.4;0;0;0;0;15.2;0
28.2;0;0;16.6;59.7;0;22.3;0;0;0;0
0;0;17.6;0;0;75.7;21.7;0;0;0;90.9
0;0;69.5;31.5;0;39.2;0;0;0;0;73.5
0;0;0;0;29.7;0;0;0;0;40.1;0
0;0;13.9;75.2;0;94.4;31.5;17.9;0;0;82.1
0;0;35;12.8;0;75.9;26.9;0;0;0;64.1
0;0;0;0;0;19.7;0;0;0;33.7;0
46.6;0;0;0;0;0;0;0;0;0;0
22.9;55;0;46.7;28.5;0;32.8;0;0;0;0
0;0;28.1;0;0;0;40;0;0;0;85
